route_id,hour,delay,prcp,wspd,extra_trips,estimated_impact
73,13,521.1666666666666,0.0,7.3,7.0,3637.9466666666663
664,13,380.00416666666666,0.0,8.391666666666667,5.0,1891.6291666666666
107,14,346.0444444444444,0.0,7.099999999999999,1.0,344.6244444444444
107,13,345.7166666666667,0.0,7.1,1.0,344.2966666666667
117,15,275.1333333333333,0.0,10.3,1.0,273.0733333333333
64,14,272.2054901960784,0.0,8.192941176470589,1.0,270.5669019607843
063,13,266.8506973500697,0.0,8.365271966527196,1.0,265.17764295676426
336,12,264.4444444444444,0.0,10.3,1.0,262.3844444444444
058F,14,261.5111111111111,0.0,7.099999999999999,1.0,260.0911111111111
64,13,258.8310861423221,0.0,8.247191011235955,1.0,257.18164794007487
64,12,251.18333333333334,0.0,8.7,1.0,249.44333333333333
990L,14,249.40416666666667,0.0,8.9,1.0,247.62416666666667
063,14,246.07329974811086,0.0,8.057682619647355,1.0,244.4617632241814
336,13,237.42666666666665,0.0,9.360000000000001,1.0,235.55466666666663
058F,13,227.47777777777776,0.0,8.733333333333334,1.0,225.7311111111111
117,12,226.4,0.0,7.1,1.0,224.98000000000002
716,13,218.0333333333333,0.0,8.42,1.0,216.3493333333333
338,13,213.95999999999998,0.0,8.42,1.0,212.27599999999998
762,14,210.62222222222223,0.0,10.3,1.0,208.56222222222223
338,14,207.55,0.0,7.95,1.0,205.96
