route_id,hour,delay,prcp,wspd,extra_trips,estimated_impact
350,11,265.70952380952383,13.8,15.6,7.0,1789.8266666666668
360,10,226.78518518518518,5.666666666666667,9.133333333333333,7.0,1554.8762962962962
507,9,221.07407407407408,4.155555555555555,9.266666666666667,3.0,651.4288888888889
360,9,215.8179487179487,5.230769230769231,8.907692307692308,1.0,211.4210256410256
766,11,214.94666666666666,3.3,10.9,1.0,211.11666666666665
913,9,210.61358024691359,0.0,6.2,1.0,209.37358024691358
507,10,203.44871794871793,3.6769230769230767,8.276923076923078,1.0,199.9548717948718
766,10,202.92244355909693,3.156972111553785,8.138645418326693,1.0,199.7162284196547
201,11,200.51069182389935,3.4245283018867925,8.949056603773585,1.0,197.00861635220124
766,9,195.6504938271605,4.590370370370371,9.048148148148147,1.0,191.5456790123457
515,11,195.56666666666666,13.8,15.6,1.0,185.54666666666665
515,10,192.29275362318842,9.091304347826087,13.35217391304348,1.0,185.07666666666665
19NAV,8,187.8888888888889,0.0,6.2,1.0,186.6488888888889
75,11,186.45772357723575,13.800000000000002,15.600000000000001,1.0,176.43772357723574
766,8,185.2111111111111,1.0999999999999999,7.766666666666667,1.0,183.10777777777776
350,9,183.08068181818183,4.9875,9.335227272727273,1.0,178.71988636363636
53,11,179.57549019607842,2.067647058823529,8.238235294117647,0.0,0.0
350,10,178.93563218390804,6.414942528735632,8.842528735632184,0.0,0.0
40,11,178.33333333333331,13.8,15.6,0.0,0.0
310,11,177.1,13.8,15.6,0.0,0.0
